Store,MAIN_BARCODE,RETAIL PRICE,MARKDOWN PERC,SELL PRICE,TOTAL DISCOUNT,WAC PER TRANSACTION,TransType,SOLD QTY,SALES AMOUNT W/O VAT,WAC AMOUNT PER TRANSACTION,MARGIN,NET_VALUE
124,193392111529,149000,0,149000,0,34683.75,45,1,135454.5455,34683.75,100770.7955,149000
124,193392301036,399000,0,399000,0,127809.6188,45,1,362727.2727,127809.6188,234917.654,399000
124,700053288911,699000,0,699000,0,255686.1464,45,1,635454.5455,255686.1464,379768.399,699000
124,193395090319,1299000,0,1299000,0,411226.3575,45,1,1180909.091,411226.3575,769682.7334,1299000
124,193391111490,199000,0,199000,0,63644.68125,45,1,180909.0909,63644.68125,117264.4097,199000
124,193392111802,99000,0,99000,0,30001.44375,45,1,90000,30001.44375,59998.55625,99000
124,193392168943,249000,0,249000,49800,83414.41875,45,1,181090.9091,83414.41875,97676.49034,199200
124,193391315898,1099000,0,1099000,0,345888.0425,45,1,999090.9091,345888.0425,653202.8666,1099000
124,772259439411,1099000,0,1099000,0,340704.905,45,1,999090.9091,340704.905,658386.0041,1099000
124,193391315607,1099000,0,1099000,0,345888.0425,45,1,999090.9091,345888.0425,653202.8666,1099000
124,772259427791,1549000,0,1549000,0,493723.1813,45,1,1408181.818,493723.1813,914458.6369,1549000
124,193394062898,1099000,0,1099000,0,305634.1191,45,1,999090.9091,305634.1191,693456.79,1099000
124,193392111819,99000,0,99000,0,30001.44375,45,1,90000,30001.44375,59998.55625,99000
124,772259427609,1549000,0,1549000,0,493723.1813,45,1,1408181.818,493723.1813,914458.6369,1549000
124,193395043551,1299000,0,1299000,0,384420.1909,45,1,1180909.091,384420.1909,796488.9,1299000
124,193391170916,499000,0,499000,0,146538.8438,45,1,453636.3636,146538.8438,307097.5199,499000
124,193392300930,549000,0,549000,0,165961.7438,45,1,499090.9091,165961.7438,333129.1653,549000
124,193395084158,2199000,0,2199000,0,703092.555,45,1,1999090.909,703092.555,1295998.354,2199000
124,193391112688,249000,0,249000,0,70962.17625,45,1,226363.6364,70962.17625,155401.4601,249000
124,193391170916,499000,0,499000,0,146538.8438,45,1,453636.3636,146538.8438,307097.5199,499000
124,193392168905,249000,0,249000,0,83414.41875,45,1,226363.6364,83414.41875,142949.2176,249000
124,772259427890,1549000,0,1549000,0,493723.1813,45,1,1408181.818,493723.1813,914458.6369,1549000
124,193392111802,99000,0,99000,0,30001.44375,45,1,90000,30001.44375,59998.55625,99000
124,772259439565,1099000,0,1099000,0,340704.905,45,1,999090.9091,340704.905,658386.0041,1099000
124,193394069248,799000,0,799000,0,245876.2088,45,1,726363.6364,245876.2088,480487.4276,799000
124,193391315157,1099000,0,1099000,0,345888.0425,45,1,999090.9091,345888.0425,653202.8666,1099000
124,193392168073,399000,0,399000,0,126248.85,45,1,362727.2727,126248.85,236478.4227,399000
124,192360069039,599000,0,599000,0,177545.4563,45,1,544545.4545,177545.4563,366999.9983,599000
124,193395043551,1299000,0,1299000,0,384420.1909,45,1,1180909.091,384420.1909,796488.9,1299000
124,772259420907,1599000,0,1599000,0,510718.2188,45,1,1453636.364,510718.2188,942918.1449,1599000
124,190543540122,999000,0,999000,0,331750.0688,45,1,908181.8182,331750.0688,576431.7494,999000
124,193391317007,1399000,0,1399000,0,454042.845,45,1,1271818.182,454042.845,817775.3368,1399000
124,192360431386,1499000,0,1499000,0,472549.5863,45,1,1362727.273,472549.5863,890177.6865,1499000
124,193390162394,399000,0,399000,0,111508.2563,45,1,362727.2727,111508.2563,251219.0165,399000
124,193395003609,999000,0,999000,0,312626.16,45,1,908181.8182,312626.16,595555.6582,999000
124,193392111789,149000,0,149000,0,42268.0275,45,1,135454.5455,42268.0275,93186.51795,149000
124,193394069293,799000,0,799000,0,245857.7863,45,1,726363.6364,245857.7863,480505.8501,799000
124,193391316901,1399000,0,1399000,0,454042.845,45,1,1271818.182,454042.845,817775.3368,1399000
124,193391315980,1099000,0,1099000,0,345888.0425,45,1,999090.9091,345888.0425,653202.8666,1099000
124,193395068127,1599000,0,1599000,0,498374.82,45,1,1453636.364,498374.82,955261.5436,1599000
124,192825518751,1549000,0,1549000,0,533089.2375,45,1,1408181.818,533089.2375,875092.5807,1549000
124,193391316048,1099000,0,1099000,0,345888.0425,45,1,999090.9091,345888.0425,653202.8666,1099000
162,193391172163,599000,0,599000,0,184707.8438,45,1,544545.4545,184707.8438,359837.6108,599000
162,193395053550,1599000,0,1599000,0,493807.23,45,1,1453636.364,493807.23,959829.1336,1599000
162,193392312247,349000,0,349000,0,105670.0688,45,1,317272.7273,105670.0688,211602.6585,349000
162,192825080913,349000,0,349000,0,104810.9625,45,1,317272.7273,104810.9625,212461.7648,349000
162,193391134239,549000,0,549000,0,169950.375,45,1,499090.9091,169950.375,329140.5341,549000
162,192825080913,349000,0,349000,0,104810.9625,45,1,317272.7273,104810.9625,212461.7648,349000
162,700053288553,699000,0,699000,0,258135.7721,45,1,635454.5455,258135.7721,377318.7734,699000
